                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.68431,                0.41981,                0.85673,                0.88698,                0.85525,                0.91241,                0.75661,                0.67524,                 14.783,                0.84037,              0.0082675,              0.0082675,              0.0082675
                     38,                0.68398,                0.41891,                0.85624,                0.88436,                 0.8595,                0.91317,                 0.7575,                0.67513,                 14.789,                0.84073,               0.008218,               0.008218,               0.008218
                     39,                 0.6815,                0.41678,                 0.8546,                0.87912,                0.86665,                0.91337,                0.75747,                0.67468,                 14.771,                0.84061,              0.0081685,              0.0081685,              0.0081685
                     40,                0.68235,                0.41771,                0.85487,                0.87726,                0.87084,                0.91408,                0.75868,                0.67343,                   14.8,                0.84018,               0.008119,               0.008119,               0.008119
                     41,                0.67796,                0.41442,                0.85353,                0.88026,                0.86861,                0.91456,                0.75894,                0.67317,                 14.807,                0.84008,              0.0080695,              0.0080695,              0.0080695
                     42,                0.67971,                  0.415,                0.85483,                0.87903,                0.86925,                0.91463,                0.75893,                0.67343,                 14.793,                0.83971,                0.00802,                0.00802,                0.00802
                     43,                0.67796,                0.41472,                0.85568,                0.87795,                0.86901,                0.91434,                0.75867,                0.67356,                 14.794,                0.83973,              0.0079705,              0.0079705,              0.0079705
                     44,                0.67467,                0.41005,                0.85266,                0.88255,                0.86516,                0.91459,                0.75926,                0.67328,                 14.848,                0.83976,               0.007921,               0.007921,               0.007921
                     45,                0.67552,                0.41109,                0.85478,                0.88542,                0.86389,                0.91447,                0.75945,                0.67294,                 14.909,                0.83977,              0.0078715,              0.0078715,              0.0078715
                     46,                0.67432,                 0.4095,                0.85308,                0.88662,                0.86243,                0.91438,                0.75923,                0.67276,                 14.902,                0.83976,               0.007822,               0.007822,               0.007822
                     47,                0.67116,                0.40821,                0.85325,                0.88322,                0.86399,                 0.9142,                0.75923,                0.67273,                 14.956,                0.84021,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.6733,                0.40907,                 0.8538,                0.88152,                0.86606,                0.91401,                0.75912,                0.67266,                 14.988,                0.84002,               0.007723,               0.007723,               0.007723
                     49,                0.67237,                 0.4079,                0.85301,                0.87769,                0.86958,                0.91402,                0.75922,                0.67242,                  14.98,                0.83986,              0.0076735,              0.0076735,              0.0076735
                     50,                0.67218,                0.40736,                0.85359,                0.87934,                0.86801,                0.91383,                0.75887,                0.67238,                 14.973,                0.83993,               0.007624,               0.007624,               0.007624
                     51,                0.67067,                0.40659,                0.85172,                0.87905,                0.86912,                0.91405,                0.75912,                0.67225,                 14.996,                0.83988,              0.0075745,              0.0075745,              0.0075745
                     52,                 0.6685,                 0.4045,                0.85115,                0.88018,                0.86736,                0.91385,                0.75917,                0.67189,                 15.003,                0.83973,               0.007525,               0.007525,               0.007525
                     53,                0.66872,                0.40461,                0.85276,                0.88452,                0.86314,                 0.9138,                0.75921,                0.67173,                 15.026,                 0.8398,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.6679,                0.40319,                0.85132,                0.88762,                0.86018,                0.91361,                0.75905,                0.67171,                 15.018,                0.83979,               0.007426,               0.007426,               0.007426
                     55,                0.66702,                0.40303,                0.85091,                0.88409,                 0.8638,                0.91349,                0.75937,                0.67159,                 15.026,                0.83994,              0.0073765,              0.0073765,              0.0073765
                     56,                0.66539,                 0.4016,                0.85101,                0.88522,                0.86288,                0.91345,                0.75941,                0.67169,                 15.018,                0.83991,               0.007327,               0.007327,               0.007327
                     57,                0.66422,                0.40141,                 0.8507,                0.88217,                0.86591,                0.91366,                0.75953,                0.67168,                 15.042,                0.83991,              0.0072775,              0.0072775,              0.0072775
                     58,                0.66267,                0.39878,                 0.8496,                0.88135,                0.86639,                0.91369,                 0.7597,                0.67163,                 15.034,                 0.8399,               0.007228,               0.007228,               0.007228
                     59,                0.66307,                0.39949,                0.85001,                 0.8814,                0.86669,                0.91365,                0.75966,                0.67165,                 15.066,                 0.8399,              0.0071785,              0.0071785,              0.0071785
                     60,                0.66232,                0.39998,                0.84783,                0.88103,                0.86761,                0.91367,                0.75957,                0.67153,                 15.081,                0.83981,               0.007129,               0.007129,               0.007129
                     61,                0.66159,                0.39784,                0.84887,                0.88196,                0.86742,                0.91366,                0.75958,                0.67163,                 15.089,                0.83976,              0.0070795,              0.0070795,              0.0070795
                     62,                0.66078,                0.39776,                0.85016,                0.88293,                0.86663,                0.91352,                 0.7594,                 0.6716,                 15.112,                0.83976,                0.00703,                0.00703,                0.00703
                     63,                0.65944,                0.39551,                0.84833,                0.88281,                0.86698,                0.91342,                 0.7592,                0.67155,                  15.12,                0.83967,              0.0069805,              0.0069805,              0.0069805
                     64,                0.65581,                0.39378,                0.84726,                0.88241,                0.86699,                 0.9133,                0.75938,                0.67166,                 15.113,                0.83965,               0.006931,               0.006931,               0.006931
                     65,                0.65637,                0.39451,                 0.8477,                 0.8819,                0.86771,                 0.9132,                0.75919,                0.67174,                 15.121,                0.83966,              0.0068815,              0.0068815,              0.0068815
                     66,                0.65838,                0.39509,                0.84784,                0.88122,                0.86816,                0.91311,                 0.7591,                0.67183,                 15.121,                0.83968,               0.006832,               0.006832,               0.006832
                     67,                0.65707,                0.39467,                 0.8488,                0.88062,                0.86889,                0.91285,                0.75903,                0.67187,                 15.137,                 0.8396,              0.0067825,              0.0067825,              0.0067825
                     68,                0.65443,                0.39237,                0.84898,                0.88036,                0.86874,                0.91273,                0.75886,                0.67188,                 15.153,                0.83962,               0.006733,               0.006733,               0.006733
                     69,                0.65573,                0.39299,                0.84834,                0.87819,                0.87085,                0.91276,                0.75877,                0.67184,                 15.176,                0.83964,              0.0066835,              0.0066835,              0.0066835
                     70,                0.65414,                0.39147,                0.84618,                0.87824,                0.87099,                0.91259,                0.75883,                0.67189,                 15.199,                0.83998,               0.006634,               0.006634,               0.006634
                     71,                0.65248,                0.39024,                0.84743,                0.87836,                0.87083,                0.91261,                 0.7588,                0.67162,                  15.23,                 0.8399,              0.0065845,              0.0065845,              0.0065845
                     72,                0.65344,                 0.3915,                0.84901,                0.87988,                0.86899,                0.91268,                0.75881,                0.67148,                 15.238,                0.83993,               0.006535,               0.006535,               0.006535
